id,dataSet,indicator,periodType,periodFrom,periodTo,operatorKey,tsoEicCode,operatorLabel,pointKey,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,interruptionType,restorationInformation,capacityType,capacityBookingStatus,isCamRelevant,isNA,originalPeriodFrom,isCmpRelevant,bookingPlatformKey,bookingPlatformLabel,bookingPlatformURL,interruptionCalculationRemark,isArchived
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00136entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00136,"Griespass (CH) / Passo Gries (IT)",21Z0000000002107,entry,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00278exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00278,Bizzarone,21Z000000000277C,exit,kWh/d,,,5364969,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00288exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00288,"SRG Delivery to other transmission networks",21Y0000000000557,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity booking at these points is not foreseen by the regulatory framework.",,49843087,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001LNG-00015entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",LNG-00015,"Cavarzere (Porto Levante / Adriatic LNG)",21Z000000000142Z,entry,kWh/d,,,109670732,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001PRD-00154entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",PRD-00154,"IT - Indigenous Production",21Y0000000000565,entry,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,79845904,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001UGS-00008exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",UGS-00008,"UGS - IT - Snam Rete Gas/STOGIT",21Z000000000274I,exit,kWh/d,,,73208,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001UGS-00023exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",UGS-00023,"UGS - IT - Snam Rete Gas/Edison",21Z000000000273K,exit,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001DIS-00005exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",DIS-00005,"Distribution (IT)",21Y0000000000581,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,1458825423,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00008exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00008,"Melendugno - IT / TAP",21Z000000000474A,exit,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00049exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00049,"Gorizia (IT) /Šempeter (SI)",21Z000000000044Z,exit,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001ITP-00136exitkWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00136,"Griespass (CH) / Passo Gries (IT)",21Z0000000002107,exit,kWh/d,,,112032217,"2022-03-11 12:21",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001LNG-00004entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",LNG-00004,"OLT LNG / Livorno",21Z000000000275G,entry,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
