country,year,iso_code,population,gdp,metric,value
Italy,1928,ITA,39475845.0,188592898000.0,cement_co2,1.519
Italy,1929,ITA,39817412.0,197852941000.0,cement_co2,1.73
Italy,1930,ITA,40159184.0,188903121000.0,cement_co2,1.723
Italy,1931,ITA,40501139.0,186657016000.0,cement_co2,1.519
Italy,1932,ITA,40843255.0,190665462000.0,cement_co2,1.545
Italy,1933,ITA,41185511.0,188473042000.0,cement_co2,1.756
Italy,1934,ITA,41530635.0,187987338000.0,cement_co2,2.013
Italy,1935,ITA,41878651.0,198143430000.0,cement_co2,2.086
Italy,1936,ITA,42229584.0,191135250000.0,cement_co2,1.89
Italy,1937,ITA,42583457.0,210128772000.0,cement_co2,2.155
Italy,1938,ITA,42940295.0,216270039000.0,cement_co2,2.279
Italy,1939,ITA,43279914.0,230115790000.0,cement_co2,2.526
Italy,1940,ITA,43602046.0,226094759000.0,cement_co2,2.373
Italy,1941,ITA,43906421.0,222193778000.0,cement_co2,1.381
Italy,1942,ITA,44192767.0,209763644000.0,cement_co2,1.108
Italy,1943,ITA,44460808.0,177590787000.0,cement_co2,0.846
Italy,1944,ITA,44730474.0,143206980000.0,cement_co2,0.668
Italy,1945,ITA,45001776.0,128646302000.0,cement_co2,0.564
Italy,1946,ITA,45274723.0,173983625000.0,cement_co2,0.999
Italy,1947,ITA,45549326.0,207087920000.0,cement_co2,1.363
Italy,1948,ITA,45825595.0,223278134000.0,cement_co2,1.555
Italy,1949,ITA,46106450.0,242450804000.0,cement_co2,1.995
Italy,1950,ITA,46391674.0,262940110000.0,cement_co2,2.475
Italy,1951,ITA,46751901.0,282516444000.0,cement_co2,2.758
Italy,1952,ITA,47018177.0,303680086000.0,cement_co2,3.289
Italy,1953,ITA,47410885.0,325628030000.0,cement_co2,3.871
Italy,1954,ITA,47832233.0,342536508000.0,cement_co2,4.328
Italy,1955,ITA,48130817.0,362461749000.0,cement_co2,5.27
Italy,1956,ITA,48401948.0,378893145000.0,cement_co2,5.604
Italy,1957,ITA,48657025.0,401226756000.0,cement_co2,5.906
Italy,1958,ITA,48927096.0,422722944000.0,cement_co2,6.338
Italy,1959,ITA,49219450.0,449036152000.0,cement_co2,7.12
Italy,1960,ITA,49514555.0,473363382734.0,cement_co2,7.915
Italy,1961,ITA,49815254.0,513214657664.0,cement_co2,8.911
Italy,1962,ITA,50170591.0,553275693898.0,cement_co2,9.969
Italy,1963,ITA,50570978.0,592671529843.0,cement_co2,10.917
Italy,1964,ITA,51019579.0,615796777476.0,cement_co2,11.288
Italy,1965,ITA,51480733.0,629615787023.0,cement_co2,10.227
Italy,1966,ITA,51919068.0,662465744179.0,cement_co2,11.081
Italy,1967,ITA,52338335.0,709741860656.0,cement_co2,12.978
Italy,1968,ITA,52712156.0,768994548476.0,cement_co2,14.563
Italy,1969,ITA,53060141.0,812977616000.0,cement_co2,15.493
Italy,1970,ITA,53390231.0,831317785406.0,cement_co2,16.347
Italy,1971,ITA,53707794.0,846968256500.0,cement_co2,15.562
Italy,1972,ITA,54067562.0,871751794687.0,cement_co2,16.211
Italy,1973,ITA,54450571.0,928806501562.0,cement_co2,17.411
Italy,1974,ITA,54821114.0,972368721304.0,cement_co2,17.233
Italy,1975,ITA,55166046.0,951557550058.0,cement_co2,16.081
Italy,1976,ITA,55459415.0,1013301897480.0,cement_co2,16.887
Italy,1977,ITA,55714552.0,1042645918097.0,cement_co2,17.572
Italy,1978,ITA,55938969.0,1081497979335.0,cement_co2,17.397
Italy,1979,ITA,56132382.0,1142855339257.0,cement_co2,17.683
Italy,1980,ITA,56412086.0,1183161666878.0,cement_co2,18.597
Italy,1981,ITA,56646752.0,1188868855925.0,cement_co2,18.295
Italy,1982,ITA,56719178.0,1194202254410.0,cement_co2,17.297
Italy,1983,ITA,56766114.0,1208770101503.0,cement_co2,16.88
Italy,1984,ITA,56810355.0,1239849227203.0,cement_co2,16.078
Italy,1985,ITA,56855499.0,1274693666324.0,cement_co2,15.428
Italy,1986,ITA,56875982.0,1310891922914.0,cement_co2,14.943
Italy,1987,ITA,56891919.0,1351528447250.0,cement_co2,15.307
Italy,1988,ITA,56928748.0,1403770038566.0,cement_co2,15.378
Italy,1989,ITA,56976750.0,1444197021007.0,cement_co2,15.794
Italy,1990,ITA,57031457.0,1475485283347.0,cement_co2,15.846
Italy,1991,ITA,57075394.0,1509175668697.0,cement_co2,15.692
Italy,1992,ITA,57124993.0,1531924051790.0,cement_co2,16.427
Italy,1993,ITA,57170762.0,1529550155063.0,cement_co2,14.065
Italy,1994,ITA,57420136.0,1573414707872.0,cement_co2,13.791
Italy,1995,ITA,57403342.0,1630199200435.0,cement_co2,15.31
Italy,1996,ITA,57162098.0,1662793011167.0,cement_co2,13.988
Italy,1997,ITA,57189272.0,1705188033729.0,cement_co2,14.233
Italy,1998,ITA,57215190.0,1744897501196.0,cement_co2,14.538
Italy,1999,ITA,57240796.0,1784529161518.0,cement_co2,15.277
Italy,2000,ITA,57272200.0,1863751547560.0,cement_co2,15.862
Italy,2001,ITA,57305760.0,1910272015654.0,cement_co2,16.394
Italy,2002,ITA,57420636.0,1929301903714.0,cement_co2,16.289
Italy,2003,ITA,57739697.0,1947667703883.0,cement_co2,16.938
Italy,2004,ITA,58176736.0,1994293720592.0,cement_co2,17.408
Italy,2005,ITA,58519696.0,2029243417217.0,cement_co2,17.403
Italy,2006,ITA,58754434.0,2086553648584.0,cement_co2,17.474
Italy,2007,ITA,59108723.0,2134371774096.0,cement_co2,17.914
Italy,2008,ITA,59561687.0,2129113318512.0,cement_co2,16.127
Italy,2009,ITA,59904016.0,2029023036275.0,cement_co2,13.341
Italy,2010,ITA,60164212.0,2080545936781.0,cement_co2,13.276
Italy,2011,ITA,60367882.0,2110883320816.0,cement_co2,12.583
Italy,2012,ITA,60531522.0,2047959835066.0,cement_co2,10.071
Italy,2013,ITA,60653864.0,2010255414011.0,cement_co2,8.877
Italy,2014,ITA,60664169.0,2010164047423.0,cement_co2,8.339
Italy,2015,ITA,60575314.0,2025809415322.0,cement_co2,8.196
Italy,2016,ITA,60478103.0,2052012434345.0,cement_co2,7.68
Italy,2017,ITA,60390317.0,2086237040647.0,cement_co2,7.711
Italy,2018,ITA,60277496.0,2105551772855.0,cement_co2,7.757
Italy,2019,ITA,60130136.0,2115725732767.0,cement_co2,7.912
Italy,2020,ITA,59912763.0,1925751927111.0,cement_co2,7.059
Italy,2021,ITA,59729353.0,2060299944789.0,cement_co2,7.919
Italy,2022,ITA,59619106.0,2136009300257.0,cement_co2,7.093
Italy,2023,ITA,59499452.0,,cement_co2,6.746
Italy,2024,ITA,59342870.0,,cement_co2,6.746
Italy,1928,ITA,39475845.0,188592898000.0,cement_co2_per_capita,0.038
Italy,1929,ITA,39817412.0,197852941000.0,cement_co2_per_capita,0.043
Italy,1930,ITA,40159184.0,188903121000.0,cement_co2_per_capita,0.043
Italy,1931,ITA,40501139.0,186657016000.0,cement_co2_per_capita,0.038
