time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,city,lat,lon
2022-01-01T00:00,7.6,79,0.0,53,4.4,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T01:00,7.6,78,0.0,0,4.7,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T02:00,8.4,75,0.0,0,6.3,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T03:00,7.6,78,0.0,0,7.3,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T04:00,7.3,77,0.0,0,6.2,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T05:00,8.4,73,0.0,0,9.2,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T06:00,7.3,87,0.0,4,9.6,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T07:00,8.9,86,0.0,1,9.1,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T08:00,8.8,83,0.0,1,11.0,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T09:00,9.4,76,0.0,0,7.7,17.0,7.0,Bari,41.1171,16.8719
2022-01-01T10:00,11.7,70,0.0,0,8.7,130.0,84.0,Bari,41.1171,16.8719
2022-01-01T11:00,13.5,73,0.0,1,9.7,263.0,200.0,Bari,41.1171,16.8719
2022-01-01T12:00,14.7,73,0.0,4,12.5,359.0,284.0,Bari,41.1171,16.8719
2022-01-01T13:00,15.9,64,0.0,0,12.3,408.0,327.0,Bari,41.1171,16.8719
2022-01-01T14:00,16.8,64,0.0,0,12.6,406.0,328.0,Bari,41.1171,16.8719
2022-01-01T15:00,16.5,67,0.0,0,13.0,351.0,277.0,Bari,41.1171,16.8719
2022-01-01T16:00,15.8,73,0.0,44,11.9,246.0,183.0,Bari,41.1171,16.8719
2022-01-01T17:00,14.1,80,0.0,85,10.0,112.0,69.0,Bari,41.1171,16.8719
2022-01-01T18:00,12.4,87,0.0,51,10.6,10.0,3.0,Bari,41.1171,16.8719
2022-01-01T19:00,11.8,87,0.0,0,9.7,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T20:00,11.1,86,0.0,0,8.8,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T21:00,10.5,81,0.0,0,8.7,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T22:00,10.6,76,0.0,0,10.5,0.0,0.0,Bari,41.1171,16.8719
2022-01-01T23:00,10.7,73,0.0,0,10.5,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T00:00,10.8,72,0.0,0,10.8,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T01:00,10.6,74,0.0,0,10.4,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T02:00,10.5,78,0.0,0,10.6,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T03:00,10.1,81,0.0,0,10.1,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T04:00,9.7,82,0.0,0,8.7,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T05:00,9.3,82,0.0,0,8.3,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T06:00,9.3,79,0.0,0,9.3,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T07:00,9.0,78,0.0,0,8.7,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T08:00,8.3,82,0.0,0,6.8,0.0,0.0,Bari,41.1171,16.8719
2022-01-02T09:00,8.7,82,0.0,0,6.1,17.0,8.0,Bari,41.1171,16.8719
2022-01-02T10:00,11.5,77,0.0,0,5.1,132.0,86.0,Bari,41.1171,16.8719
2022-01-02T11:00,14.4,67,0.0,0,2.4,266.0,201.0,Bari,41.1171,16.8719
2022-01-02T12:00,15.4,63,0.0,0,3.1,368.0,294.0,Bari,41.1171,16.8719
2022-01-02T13:00,16.1,63,0.0,0,2.9,420.0,343.0,Bari,41.1171,16.8719
2022-01-02T14:00,16.6,64,0.0,0,5.9,418.0,341.0,Bari,41.1171,16.8719
2022-01-02T15:00,16.4,66,0.0,0,8.0,361.0,288.0,Bari,41.1171,16.8719
2022-01-02T16:00,15.8,70,0.0,0,7.3,255.0,191.0,Bari,41.1171,16.8719
