time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,city,lat,lon
2020-01-01T00:00,7.1,84,0.0,83,16.3,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T01:00,7.9,81,0.0,85,16.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T02:00,8.4,78,0.0,97,17.4,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T03:00,8.7,72,0.0,89,17.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T04:00,8.6,68,0.0,57,16.3,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T05:00,8.3,64,0.0,60,18.2,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T06:00,8.2,62,0.0,7,17.3,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T07:00,8.2,67,0.0,6,16.5,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T08:00,8.2,70,0.0,13,17.6,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T09:00,8.7,72,0.0,3,19.6,17.0,7.0,Bari,41.1171,16.8719
2020-01-01T10:00,10.2,71,0.0,1,19.2,124.0,75.0,Bari,41.1171,16.8719
2020-01-01T11:00,11.6,70,0.0,1,20.7,257.0,190.0,Bari,41.1171,16.8719
2020-01-01T12:00,12.6,62,0.0,2,20.9,365.0,289.0,Bari,41.1171,16.8719
2020-01-01T13:00,12.6,50,0.0,0,21.0,427.0,352.0,Bari,41.1171,16.8719
2020-01-01T14:00,13.1,55,0.0,1,21.2,429.0,354.0,Bari,41.1171,16.8719
2020-01-01T15:00,12.7,55,0.0,1,20.6,368.0,300.0,Bari,41.1171,16.8719
2020-01-01T16:00,12.3,56,0.0,1,19.1,255.0,193.0,Bari,41.1171,16.8719
2020-01-01T17:00,11.6,56,0.0,0,18.1,114.0,71.0,Bari,41.1171,16.8719
2020-01-01T18:00,11.0,55,0.0,0,19.9,10.0,4.0,Bari,41.1171,16.8719
2020-01-01T19:00,10.9,54,0.0,0,21.1,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T20:00,10.7,55,0.0,0,19.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T21:00,10.3,58,0.0,0,17.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T22:00,10.0,61,0.0,3,16.7,0.0,0.0,Bari,41.1171,16.8719
2020-01-01T23:00,9.7,61,0.0,4,15.6,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T00:00,9.4,61,0.0,73,13.4,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T01:00,9.3,62,0.0,11,11.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T02:00,8.3,75,0.0,25,7.2,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T03:00,8.1,75,0.0,11,8.3,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T04:00,7.7,74,0.0,1,11.5,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T05:00,7.4,75,0.0,0,13.6,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T06:00,7.1,77,0.0,0,14.4,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T07:00,7.1,78,0.0,2,15.2,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T08:00,7.1,77,0.0,18,13.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T09:00,7.5,76,0.0,14,10.1,16.0,6.0,Bari,41.1171,16.8719
2020-01-02T10:00,9.2,73,0.0,16,7.6,113.0,60.0,Bari,41.1171,16.8719
2020-01-02T11:00,10.6,71,0.0,31,4.8,215.0,126.0,Bari,41.1171,16.8719
2020-01-02T12:00,11.6,67,0.0,19,3.7,316.0,204.0,Bari,41.1171,16.8719
2020-01-02T13:00,12.2,61,0.0,60,9.4,393.0,293.0,Bari,41.1171,16.8719
2020-01-02T14:00,12.7,60,0.0,85,11.3,340.0,204.0,Bari,41.1171,16.8719
2020-01-02T15:00,12.4,61,0.0,79,17.7,278.0,138.0,Bari,41.1171,16.8719
2020-01-02T16:00,11.6,55,0.0,5,16.4,197.0,104.0,Bari,41.1171,16.8719
2020-01-02T17:00,10.8,54,0.0,0,15.0,109.0,66.0,Bari,41.1171,16.8719
2020-01-02T18:00,9.7,64,0.0,0,13.3,11.0,4.0,Bari,41.1171,16.8719
2020-01-02T19:00,9.4,79,0.0,52,11.3,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T20:00,9.2,79,0.0,52,9.7,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T21:00,8.6,80,0.0,23,9.2,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T22:00,7.7,77,0.0,36,11.2,0.0,0.0,Bari,41.1171,16.8719
2020-01-02T23:00,7.4,66,0.0,30,14.7,0.0,0.0,Bari,41.1171,16.8719
2020-01-03T00:00,7.3,70,0.0,1,13.0,0.0,0.0,Bari,41.1171,16.8719
2020-01-03T01:00,7.2,75,0.0,3,11.5,0.0,0.0,Bari,41.1171,16.8719
2020-01-03T02:00,7.7,76,0.0,0,13.1,0.0,0.0,Bari,41.1171,16.8719
