time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,city,lat,lon
2018-01-01T00:00,8.0,82,0.0,1,15.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T01:00,8.4,90,0.0,4,16.4,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T02:00,8.6,90,0.0,72,16.7,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T03:00,8.6,91,0.0,87,16.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T04:00,8.9,91,0.0,77,16.6,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T05:00,8.9,92,0.0,83,15.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T06:00,8.7,92,0.0,89,12.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T07:00,8.5,92,0.0,83,11.3,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T08:00,8.6,93,0.0,94,13.7,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T09:00,9.0,94,0.0,83,15.9,14.0,2.0,Bari,41.1171,16.8719
2018-01-01T10:00,10.7,87,0.0,64,15.9,117.0,54.0,Bari,41.1171,16.8719
2018-01-01T11:00,12.8,77,0.0,51,13.7,258.0,177.0,Bari,41.1171,16.8719
2018-01-01T12:00,14.7,67,0.0,92,11.4,366.0,284.0,Bari,41.1171,16.8719
2018-01-01T13:00,15.9,59,0.0,100,10.5,397.0,294.0,Bari,41.1171,16.8719
2018-01-01T14:00,15.7,58,0.0,100,9.0,332.0,158.0,Bari,41.1171,16.8719
2018-01-01T15:00,15.1,64,0.0,99,11.3,224.0,56.0,Bari,41.1171,16.8719
2018-01-01T16:00,13.8,73,0.0,100,14.3,127.0,15.0,Bari,41.1171,16.8719
2018-01-01T17:00,12.6,78,0.0,100,15.9,49.0,3.0,Bari,41.1171,16.8719
2018-01-01T18:00,12.1,82,0.0,40,16.2,6.0,1.0,Bari,41.1171,16.8719
2018-01-01T19:00,12.4,77,0.0,73,19.3,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T20:00,12.4,76,0.0,94,20.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T21:00,12.3,64,0.0,1,21.7,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T22:00,11.3,62,0.0,0,23.4,0.0,0.0,Bari,41.1171,16.8719
2018-01-01T23:00,11.1,62,0.0,0,23.7,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T00:00,10.8,64,0.0,1,20.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T01:00,10.8,61,0.0,1,21.7,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T02:00,10.5,59,0.0,10,19.9,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T03:00,10.5,56,0.0,1,18.6,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T04:00,10.5,55,0.0,1,16.5,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T05:00,9.5,58,0.0,1,10.6,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T06:00,7.2,77,0.0,2,10.0,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T07:00,6.7,79,0.0,46,9.8,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T08:00,7.1,79,0.0,75,6.8,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T09:00,8.7,72,0.1,80,9.4,14.0,4.0,Bari,41.1171,16.8719
2018-01-02T10:00,10.2,68,0.0,100,10.8,76.0,13.0,Bari,41.1171,16.8719
2018-01-02T11:00,12.0,63,0.0,100,11.2,171.0,58.0,Bari,41.1171,16.8719
2018-01-02T12:00,12.1,67,0.2,49,12.2,170.0,30.0,Bari,41.1171,16.8719
2018-01-02T13:00,13.0,65,0.1,86,13.1,316.0,181.0,Bari,41.1171,16.8719
2018-01-02T14:00,9.9,86,0.0,98,9.8,318.0,160.0,Bari,41.1171,16.8719
2018-01-02T15:00,10.9,81,0.4,100,7.5,147.0,35.0,Bari,41.1171,16.8719
2018-01-02T16:00,10.1,87,0.3,99,9.9,118.0,9.0,Bari,41.1171,16.8719
2018-01-02T17:00,9.7,92,0.8,99,15.4,35.0,3.0,Bari,41.1171,16.8719
2018-01-02T18:00,10.1,88,0.4,99,16.9,2.0,0.0,Bari,41.1171,16.8719
2018-01-02T19:00,9.3,93,2.8,99,16.8,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T20:00,8.8,90,1.4,100,18.6,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T21:00,8.8,90,0.3,100,19.8,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T22:00,8.3,89,0.0,99,19.9,0.0,0.0,Bari,41.1171,16.8719
2018-01-02T23:00,9.4,91,0.1,93,20.2,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T00:00,10.9,75,0.1,90,20.9,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T01:00,10.8,62,0.0,17,26.9,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T02:00,10.2,66,0.0,33,22.8,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T03:00,10.2,65,0.0,32,21.0,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T04:00,9.7,67,0.0,26,20.6,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T05:00,9.7,66,0.0,30,20.4,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T06:00,9.0,70,0.0,36,18.6,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T07:00,8.1,74,0.0,33,19.2,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T08:00,7.9,71,0.0,31,19.0,0.0,0.0,Bari,41.1171,16.8719
2018-01-03T09:00,7.8,71,0.0,2,18.9,16.0,6.0,Bari,41.1171,16.8719
