date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
2015-01-01,39.5,10.0,11.78,12.65,9.67,0.81,11.08,14.9,2.3023,66.11,102.55
2015-01-02,39.5,10.0,12.88,13.7,12.09,0.0,4.79,2.0,2.2493,65.29,102.96
2015-01-03,39.5,10.0,14.33,16.56,12.6,0.0,7.71,282.9,2.5764,79.2,102.65
2015-01-04,39.5,10.0,15.45,16.91,14.58,0.03,9.37,304.0,2.2958,76.69,102.0
2015-01-05,39.5,10.0,14.31,15.47,13.06,0.07,5.47,24.0,2.7206,64.52,102.6
2015-01-06,39.5,10.0,13.79,15.04,12.56,0.0,3.65,271.9,2.7516,65.04,102.33
2015-01-07,39.5,10.0,14.37,15.38,13.13,0.01,3.31,294.7,1.992,69.08,102.61
2015-01-08,39.5,10.0,13.62,15.2,12.66,0.0,4.9,298.0,2.4641,69.89,103.14
2015-01-09,39.5,10.0,13.83,15.88,12.7,0.0,7.09,294.8,2.6105,75.41,103.24
2015-01-10,39.5,10.0,15.67,17.76,13.39,0.0,7.29,292.8,2.4828,81.63,102.37
2015-01-11,39.5,10.0,15.4,17.63,13.78,0.0,8.85,287.5,2.8486,78.72,101.83
2015-01-12,39.5,10.0,14.5,15.29,13.73,0.0,4.73,337.5,2.7934,66.47,102.82
2015-01-13,39.5,10.0,13.5,13.91,12.77,0.0,4.18,209.1,2.544,75.63,102.63
2015-01-14,39.5,10.0,15.01,16.98,13.47,0.0,2.85,291.2,2.8068,66.38,102.11
2015-01-15,39.5,10.0,14.3,16.32,12.77,0.0,3.91,241.6,3.0156,77.9,102.0
2015-01-16,39.5,10.0,15.13,16.22,14.38,0.11,5.76,194.3,2.3443,91.49,101.42
2015-01-17,39.5,10.0,14.44,15.57,13.37,0.13,4.87,268.5,2.681,71.61,101.49
2015-01-18,39.5,10.0,12.2,13.19,10.85,3.08,4.67,6.1,1.4129,72.17,101.4
2015-01-19,39.5,10.0,12.17,12.93,11.02,2.54,2.85,118.3,1.7863,69.11,100.93
2015-01-20,39.5,10.0,12.64,13.84,10.93,1.29,1.76,193.9,2.4631,69.81,100.48
2015-01-21,39.5,10.0,13.24,13.72,12.81,1.94,7.36,229.0,2.201,73.63,100.66
2015-01-22,39.5,10.0,12.62,13.56,11.79,2.04,3.54,240.1,1.1606,70.45,100.37
2015-01-23,39.5,10.0,12.71,13.7,11.69,5.8,9.89,331.1,0.9821,78.32,100.13
2015-01-24,39.5,10.0,13.45,14.13,12.57,1.62,9.06,340.3,2.3554,70.97,100.65
2015-01-25,39.5,10.0,12.4,13.27,11.2,3.25,9.13,359.6,1.9226,73.05,100.78
2015-01-26,39.5,10.0,11.92,12.44,11.29,10.54,10.62,20.4,0.948,76.89,101.34
2015-01-27,39.5,10.0,11.63,12.32,10.59,0.24,4.83,327.9,2.8186,65.55,101.34
2015-01-28,39.5,10.0,11.68,12.1,11.19,0.1,8.92,4.6,2.7595,60.09,101.2
2015-01-29,39.5,10.0,12.5,14.32,10.72,1.13,8.97,265.6,1.5689,73.12,100.53
2015-01-30,39.5,10.0,13.38,15.2,11.08,1.04,12.05,262.9,1.6236,73.41,98.85
2015-01-31,39.5,10.0,12.24,13.34,11.04,10.72,7.37,259.0,0.863,81.59,98.47
2015-02-01,39.5,10.0,10.91,11.99,9.51,1.47,11.48,282.3,2.1384,70.99,99.41
2015-02-02,39.5,10.0,10.22,11.49,9.24,0.82,10.54,285.6,3.0895,67.38,100.29
2015-02-03,39.5,10.0,11.46,13.09,10.07,6.61,9.73,226.2,1.4549,77.12,99.85
2015-02-04,39.5,10.0,12.26,13.84,10.1,7.38,9.34,225.1,1.5485,78.36,99.6
2015-02-05,39.5,10.0,10.9,11.67,10.2,5.57,11.5,231.8,2.4636,76.78,99.34
2015-02-06,39.5,10.0,10.87,11.94,10.24,4.2,10.97,266.3,3.3163,75.68,99.98
2015-02-07,39.5,10.0,10.4,11.26,9.49,5.2,7.82,277.7,3.336,77.28,101.07
2015-02-08,39.5,10.0,11.24,12.4,10.3,2.29,7.19,315.6,3.1536,75.12,101.04
2015-02-09,39.5,10.0,10.15,11.45,8.53,0.83,11.31,17.9,3.5366,61.96,101.77
2015-02-10,39.5,10.0,12.69,14.39,10.75,0.0,4.7,350.6,3.8815,66.82,102.12
