date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
2015-01-01,39.5,13.0,11.48,12.13,10.99,0.0,11.23,42.0,2.37,64.41,102.5
2015-01-02,39.5,13.0,12.35,13.6,11.21,0.0,5.27,14.4,2.5248,60.95,103.03
2015-01-03,39.5,13.0,14.36,15.17,13.58,0.02,5.38,268.3,2.3074,77.17,102.85
2015-01-04,39.5,13.0,15.47,15.72,15.09,0.75,8.37,309.1,1.9572,84.09,101.99
2015-01-05,39.5,13.0,13.18,14.75,12.57,0.0,7.44,26.7,2.413,58.11,102.68
2015-01-06,39.5,13.0,13.81,14.3,13.17,0.0,5.35,321.9,2.2423,64.1,102.49
2015-01-07,39.5,13.0,14.27,14.64,13.85,0.06,2.51,183.7,2.3045,67.3,102.89
2015-01-08,39.5,13.0,13.91,14.55,13.19,0.03,2.44,276.6,2.441,72.84,103.31
2015-01-09,39.5,13.0,14.21,14.57,13.84,0.02,5.37,282.4,1.7638,72.83,103.38
2015-01-10,39.5,13.0,14.96,15.53,14.11,0.04,6.21,283.0,1.5199,80.4,102.52
2015-01-11,39.5,13.0,15.43,15.92,15.09,0.05,7.25,271.0,2.664,88.16,101.9
2015-01-12,39.5,13.0,14.14,15.96,13.7,0.01,5.29,22.8,2.7372,59.57,102.88
2015-01-13,39.5,13.0,13.44,13.79,12.96,0.0,2.59,237.1,2.8106,66.0,102.97
2015-01-14,39.5,13.0,14.29,14.59,13.87,0.0,3.45,253.1,2.5138,78.35,102.35
2015-01-15,39.5,13.0,14.1,14.43,13.77,0.01,3.8,243.7,2.8126,81.13,102.32
2015-01-16,39.5,13.0,14.76,15.48,13.77,0.01,6.17,162.9,2.6724,83.89,101.97
2015-01-17,39.5,13.0,15.15,15.36,15.02,0.31,4.85,211.1,2.6227,90.3,101.77
2015-01-18,39.5,13.0,14.6,15.18,13.43,22.5,1.76,88.9,0.7894,86.93,101.42
2015-01-19,39.5,13.0,13.6,14.03,12.66,1.52,4.49,285.9,1.8233,76.61,101.15
2015-01-20,39.5,13.0,14.16,14.73,13.33,0.79,5.83,200.7,1.5168,71.25,100.85
2015-01-21,39.5,13.0,14.24,14.54,13.73,2.87,6.0,218.6,2.3645,75.09,101.08
2015-01-22,39.5,13.0,13.12,14.35,11.56,10.07,5.74,182.7,0.6883,80.09,100.65
2015-01-23,39.5,13.0,12.6,13.48,11.6,7.07,7.41,324.8,1.1784,83.16,99.79
2015-01-24,39.5,13.0,13.31,14.54,12.05,1.98,5.87,1.0,2.8085,72.98,100.51
2015-01-25,39.5,13.0,12.72,13.74,11.86,3.31,2.48,135.6,2.1158,69.14,100.84
2015-01-26,39.5,13.0,11.87,12.25,11.52,8.26,5.42,74.6,1.5662,81.18,101.42
2015-01-27,39.5,13.0,11.89,12.22,11.54,0.96,5.87,325.0,2.9527,66.57,101.4
2015-01-28,39.5,13.0,11.17,12.05,9.47,2.27,7.28,358.7,1.417,67.9,101.02
2015-01-29,39.5,13.0,12.56,13.67,11.59,1.15,8.38,271.6,1.9375,69.69,100.72
2015-01-30,39.5,13.0,14.08,14.7,13.51,6.73,14.38,246.5,1.1659,75.04,99.12
2015-01-31,39.5,13.0,12.96,13.58,11.77,14.07,7.4,250.6,0.7097,79.78,98.72
2015-02-01,39.5,13.0,12.5,13.27,11.86,2.85,11.58,273.9,2.2759,69.87,99.43
2015-02-02,39.5,13.0,11.27,11.85,10.62,1.36,10.86,283.8,2.3297,67.34,100.31
2015-02-03,39.5,13.0,12.52,13.99,10.95,9.46,9.71,220.9,1.5468,70.67,100.38
2015-02-04,39.5,13.0,14.07,15.08,12.73,0.03,10.1,212.0,2.1768,71.46,100.17
2015-02-05,39.5,13.0,12.39,14.5,10.97,13.77,8.87,221.2,1.3142,78.59,99.92
2015-02-06,39.5,13.0,12.08,12.78,10.64,5.61,12.47,244.7,2.0316,73.69,100.2
2015-02-07,39.5,13.0,11.51,12.3,11.21,2.4,7.99,245.9,2.4866,72.38,101.3
2015-02-08,39.5,13.0,11.43,12.17,9.86,7.11,6.87,309.2,2.9626,77.65,101.01
2015-02-09,39.5,13.0,8.64,10.91,7.41,1.24,14.09,19.2,2.5817,65.86,101.6
2015-02-10,39.5,13.0,12.65,14.35,11.06,0.0,6.64,2.8,3.8443,62.07,102.08
2015-02-11,39.5,13.0,13.05,13.8,12.78,0.0,3.74,55.2,3.8815,63.97,102.25
2015-02-12,39.5,13.0,12.72,13.24,12.42,0.02,4.45,86.5,3.9281,68.28,102.23
2015-02-13,39.5,13.0,12.25,12.49,12.08,0.06,4.09,121.5,3.5938,68.9,102.2
2015-02-14,39.5,13.0,11.74,12.15,11.3,1.43,4.58,160.7,1.8151,79.78,101.79
