date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
2015-01-01,40.5,14.5,9.07,10.69,8.26,0.33,9.27,37.1,2.3707,67.94,102.21
2015-01-02,40.5,14.5,11.25,13.39,8.68,0.0,5.28,10.0,2.3189,66.14,102.63
2015-01-03,40.5,14.5,13.71,14.4,13.35,0.06,4.71,275.8,1.5578,75.94,102.42
2015-01-04,40.5,14.5,14.83,16.27,12.08,3.41,6.22,326.9,2.0095,76.66,101.57
2015-01-05,40.5,14.5,10.89,11.63,10.25,0.07,7.26,14.9,2.3227,59.62,102.28
2015-01-06,40.5,14.5,11.97,12.82,11.17,0.0,6.25,357.7,2.5262,62.26,102.06
2015-01-07,40.5,14.5,12.58,13.62,11.1,0.11,2.38,116.0,2.3626,56.6,102.59
2015-01-08,40.5,14.5,13.05,13.31,12.76,0.46,2.09,251.8,1.7722,72.53,102.95
2015-01-09,40.5,14.5,13.64,14.54,12.65,0.11,4.32,278.0,1.1686,74.0,102.92
2015-01-10,40.5,14.5,14.06,14.73,13.39,0.05,4.57,268.2,0.8054,79.99,102.08
2015-01-11,40.5,14.5,14.63,15.63,13.59,1.67,5.23,258.7,1.7885,85.88,101.47
2015-01-12,40.5,14.5,12.62,13.86,10.94,0.03,4.86,17.3,2.6455,57.45,102.51
2015-01-13,40.5,14.5,12.72,13.28,12.38,0.0,2.5,289.9,2.8486,64.33,102.61
2015-01-14,40.5,14.5,13.2,14.12,12.31,0.0,2.62,270.7,2.0827,72.6,102.0
2015-01-15,40.5,14.5,13.66,14.4,13.08,0.03,3.16,276.2,2.4048,80.26,101.94
2015-01-16,40.5,14.5,13.45,14.09,12.84,0.01,4.27,150.5,2.311,77.48,101.75
2015-01-17,40.5,14.5,14.97,15.56,14.37,2.6,5.49,173.8,2.1643,89.45,101.48
2015-01-18,40.5,14.5,14.18,15.1,12.65,31.0,4.82,152.4,0.5254,91.0,101.16
2015-01-19,40.5,14.5,12.72,13.79,11.32,4.65,3.48,85.5,1.4791,75.95,100.82
2015-01-20,40.5,14.5,12.92,14.09,12.22,7.72,4.01,181.0,1.0891,79.67,100.6
2015-01-21,40.5,14.5,13.38,14.89,12.33,3.56,3.32,207.4,1.8331,74.99,100.78
2015-01-22,40.5,14.5,12.71,13.95,11.36,22.38,6.12,114.9,0.7174,81.82,100.4
2015-01-23,40.5,14.5,11.74,12.43,11.08,13.97,5.17,75.3,0.9444,83.25,99.36
2015-01-24,40.5,14.5,12.23,13.43,11.22,1.0,7.07,23.0,1.8485,76.81,100.11
2015-01-25,40.5,14.5,11.24,12.35,10.32,3.17,5.95,57.3,1.3483,74.33,100.65
2015-01-26,40.5,14.5,10.76,11.74,9.64,1.78,6.79,57.5,1.2744,72.94,101.24
2015-01-27,40.5,14.5,9.96,10.8,9.06,0.29,3.13,31.9,2.9302,64.56,101.02
2015-01-28,40.5,14.5,9.34,10.46,8.43,2.61,6.98,20.9,2.0978,75.27,100.68
2015-01-29,40.5,14.5,10.94,12.8,9.16,4.52,6.04,256.6,2.166,72.94,100.28
2015-01-30,40.5,14.5,13.17,14.39,11.46,29.09,13.35,244.6,0.6821,75.05,98.58
2015-01-31,40.5,14.5,12.04,12.74,11.33,20.07,5.71,232.1,1.0008,72.68,98.39
2015-02-01,40.5,14.5,11.89,12.81,10.89,5.06,9.24,268.3,1.867,74.25,98.89
2015-02-02,40.5,14.5,10.22,11.14,9.84,5.83,6.33,288.0,2.0186,71.56,99.79
2015-02-03,40.5,14.5,11.4,13.15,10.18,13.7,6.94,198.4,1.5619,71.49,100.1
2015-02-04,40.5,14.5,13.32,14.13,12.0,2.61,8.83,209.9,2.095,72.61,99.91
2015-02-05,40.5,14.5,12.07,14.07,8.76,15.96,6.98,189.2,1.5775,85.74,99.63
2015-02-06,40.5,14.5,11.55,12.29,10.16,6.97,8.19,224.6,1.8408,77.38,99.79
2015-02-07,40.5,14.5,10.96,11.74,9.98,4.09,4.73,212.4,1.9469,72.34,100.96
2015-02-08,40.5,14.5,9.66,10.61,8.65,5.4,4.2,12.9,2.7684,75.47,100.69
2015-02-09,40.5,14.5,6.42,8.36,5.37,0.14,12.68,15.7,3.0031,69.94,101.17
2015-02-10,40.5,14.5,10.94,13.46,8.13,0.33,8.05,3.0,3.395,69.4,101.66
2015-02-11,40.5,14.5,11.83,13.92,10.23,0.03,4.75,32.3,3.4668,67.44,101.9
2015-02-12,40.5,14.5,11.46,12.37,10.17,0.65,2.82,60.6,2.9563,63.4,101.94
2015-02-13,40.5,14.5,11.23,12.18,10.16,0.03,1.82,148.0,3.7409,62.39,101.91
2015-02-14,40.5,14.5,11.27,12.0,10.14,0.5,2.61,154.2,3.1255,70.26,101.51
2015-02-15,40.5,14.5,11.37,11.82,10.24,2.46,5.47,157.0,1.9721,85.51,101.1
2015-02-16,40.5,14.5,12.93,13.44,11.74,7.05,6.85,136.6,1.5835,84.09,101.06
2015-02-17,40.5,14.5,13.32,15.23,11.9,0.55,6.28,72.0,3.4114,76.7,101.68
2015-02-18,40.5,14.5,11.21,13.66,9.41,0.02,7.78,59.8,3.8969,67.61,102.48
2015-02-19,40.5,14.5,10.96,11.94,9.38,0.01,3.48,37.9,4.3524,54.01,102.7
2015-02-20,40.5,14.5,11.47,12.3,10.65,0.0,2.48,277.9,4.212,62.68,102.14
2015-02-21,40.5,14.5,11.54,13.02,10.17,7.05,6.16,158.4,1.9668,74.8,100.9
2015-02-22,40.5,14.5,12.97,14.05,12.24,20.94,7.72,161.5,1.7443,88.27,99.18
2015-02-23,40.5,14.5,12.99,13.97,12.27,1.52,4.01,323.7,3.0708,80.91,99.82
2015-02-24,40.5,14.5,12.61,14.04,11.09,9.88,5.76,190.7,1.489,82.23,99.68
2015-02-25,40.5,14.5,11.05,11.61,10.29,6.31,4.41,159.9,1.5718,80.23,99.73
2015-02-26,40.5,14.5,12.33,14.6,10.72,1.46,4.76,83.0,3.4325,71.57,100.61
2015-02-27,40.5,14.5,11.68,13.09,10.36,3.13,5.32,13.9,2.1156,78.24,100.52
2015-02-28,40.5,14.5,12.09,12.78,11.09,0.16,2.17,314.4,4.2655,72.52,101.12
2015-03-01,40.5,14.5,12.68,13.54,11.97,0.32,3.64,288.3,4.2619,77.82,101.54
2015-03-02,40.5,14.5,12.67,13.79,11.46,0.33,5.63,234.2,1.3471,85.99,101.54
2015-03-03,40.5,14.5,14.09,14.7,13.68,1.19,3.2,266.1,3.8837,93.71,101.7
2015-03-04,40.5,14.5,13.79,14.5,13.3,1.97,4.08,165.9,3.342,89.62,101.67
2015-03-05,40.5,14.5,11.41,14.09,8.13,16.33,8.19,180.7,2.7775,81.39,100.13
2015-03-06,40.5,14.5,10.41,12.2,8.27,4.92,13.23,26.8,2.0676,72.27,101.01
2015-03-07,40.5,14.5,10.57,11.96,9.33,1.12,10.07,25.5,3.5496,69.53,101.57
2015-03-08,40.5,14.5,11.48,13.8,10.01,0.0,7.94,48.0,4.6027,69.27,101.59
2015-03-09,40.5,14.5,12.14,14.46,10.22,0.09,4.94,52.3,4.6985,71.6,101.76
2015-03-10,40.5,14.5,11.58,12.61,10.28,0.01,3.71,12.4,4.3711,70.36,101.91
2015-03-11,40.5,14.5,11.92,12.65,10.99,0.01,2.83,322.8,4.92,72.92,101.67
2015-03-12,40.5,14.5,11.06,12.2,9.45,1.77,7.43,20.7,2.5872,75.22,101.29
2015-03-13,40.5,14.5,11.79,13.23,10.01,0.01,5.1,0.5,4.7786,66.09,101.41
2015-03-14,40.5,14.5,12.23,13.33,11.15,0.02,2.3,164.2,4.6922,66.82,101.7
2015-03-15,40.5,14.5,13.29,14.41,12.22,2.46,5.68,123.6,1.3001,77.02,101.92
2015-03-16,40.5,14.5,14.02,15.03,12.98,0.43,7.95,126.0,1.2662,81.12,101.93
2015-03-17,40.5,14.5,12.96,13.55,12.44,12.46,6.59,118.6,1.4002,84.46,101.82
2015-03-18,40.5,14.5,13.12,15.06,10.93,0.38,3.19,38.1,4.6493,77.59,101.81
2015-03-19,40.5,14.5,13.48,14.02,12.65,0.06,2.4,301.2,4.8866,77.36,101.82
2015-03-20,40.5,14.5,12.64,14.63,11.02,0.0,4.38,66.3,5.7444,60.19,101.9
2015-03-21,40.5,14.5,12.38,13.56,10.56,0.04,5.54,136.0,4.6831,62.0,101.63
2015-03-22,40.5,14.5,13.3,13.92,12.57,8.62,5.79,119.7,1.506,84.15,100.72
