date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
2015-01-01,43.5,13.0,1.76,4.55,-1.73,0.26,5.83,29.5,1.7875,78.9,100.01
2015-01-02,43.5,13.0,4.44,8.09,2.18,0.2,3.5,313.7,1.9013,89.9,99.94
2015-01-03,43.5,13.0,5.81,9.96,2.95,0.04,5.66,252.4,1.817,93.86,99.39
2015-01-04,43.5,13.0,7.69,12.31,5.11,0.35,5.59,299.1,2.0122,87.68,98.94
2015-01-05,43.5,13.0,5.1,9.6,2.16,0.0,4.47,337.5,2.1341,66.5,99.62
2015-01-06,43.5,13.0,4.63,9.31,1.86,0.0,3.44,132.8,1.9894,86.13,99.33
2015-01-07,43.5,13.0,5.65,9.31,1.33,0.02,1.67,227.5,1.3625,86.25,99.73
2015-01-08,43.5,13.0,7.03,11.15,3.41,0.03,1.78,245.7,1.7544,88.53,100.06
2015-01-09,43.5,13.0,6.39,9.67,4.19,0.03,5.09,249.5,1.272,93.61,99.94
2015-01-10,43.5,13.0,8.79,11.44,7.41,0.03,8.56,240.3,1.488,89.33,98.93
2015-01-11,43.5,13.0,9.69,14.53,6.09,0.44,7.5,252.1,1.9826,89.09,98.43
2015-01-12,43.5,13.0,6.48,12.23,2.39,0.04,3.12,271.2,1.9284,70.81,99.69
2015-01-13,43.5,13.0,6.08,12.47,2.7,0.0,4.75,231.7,2.292,75.45,99.58
2015-01-14,43.5,13.0,7.27,11.7,3.83,0.02,5.16,239.5,2.0482,87.8,99.01
2015-01-15,43.5,13.0,7.87,12.75,5.25,0.02,4.47,232.9,2.2171,89.69,98.97
2015-01-16,43.5,13.0,8.4,14.19,4.76,0.07,4.41,200.4,1.8977,86.35,98.61
2015-01-17,43.5,13.0,9.65,13.96,6.67,0.31,5.19,214.5,1.3584,86.26,98.31
2015-01-18,43.5,13.0,7.38,10.7,4.9,0.28,2.71,267.8,1.0519,89.03,98.45
