date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
2015-01-01,42.5,7.0,11.98,13.22,10.24,0.0,5.13,41.9,2.2327,62.04,103.28
2015-01-02,42.5,7.0,13.09,13.77,12.18,0.0,4.9,280.8,2.2315,72.3,103.12
2015-01-03,42.5,7.0,13.72,14.8,12.31,0.0,8.37,289.9,1.8497,82.89,102.67
2015-01-04,42.5,7.0,14.67,15.22,14.0,0.1,10.72,310.4,2.2985,79.91,102.42
2015-01-05,42.5,7.0,14.39,15.01,13.84,0.04,5.32,138.1,2.3114,74.48,102.85
2015-01-06,42.5,7.0,12.61,13.75,12.14,0.0,4.17,253.2,1.9157,81.45,102.4
2015-01-07,42.5,7.0,13.14,13.61,12.69,0.0,1.48,278.8,2.0947,66.71,102.75
2015-01-08,42.5,7.0,13.34,14.18,13.13,0.0,5.91,282.0,2.0974,68.53,103.25
2015-01-09,42.5,7.0,13.49,14.48,12.51,0.0,9.8,297.7,2.1108,78.65,103.26
2015-01-10,42.5,7.0,14.6,14.94,14.24,0.0,12.71,283.8,1.7794,88.91,102.44
2015-01-11,42.5,7.0,13.74,14.38,12.63,0.0,12.75,299.8,2.3962,75.31,102.08
2015-01-12,42.5,7.0,13.02,13.67,12.61,0.0,4.94,259.7,2.5318,77.6,102.99
2015-01-13,42.5,7.0,13.25,13.41,13.09,0.06,5.49,201.2,1.4491,85.07,102.63
2015-01-14,42.5,7.0,13.74,14.2,13.31,0.64,6.26,269.4,2.3222,81.17,102.25
2015-01-15,42.5,7.0,13.76,14.02,13.48,0.1,7.72,190.4,2.3832,88.08,101.85
2015-01-16,42.5,7.0,14.25,14.72,13.71,8.16,8.5,187.9,1.5175,91.81,101.13
2015-01-17,42.5,7.0,11.91,13.29,11.49,0.18,10.22,279.7,2.208,71.87,101.53
2015-01-18,42.5,7.0,11.41,11.53,11.13,0.49,6.52,256.6,2.4938,70.49,101.6
2015-01-19,42.5,7.0,12.09,13.3,11.54,0.12,5.07,131.8,2.209,67.65,101.08
2015-01-20,42.5,7.0,13.01,13.45,12.35,1.36,5.63,87.2,2.0539,68.61,100.66
2015-01-21,42.5,7.0,11.55,12.3,10.86,13.77,6.95,140.3,1.1803,79.74,100.5
2015-01-22,42.5,7.0,11.77,12.75,10.85,1.23,6.24,36.6,1.6034,67.85,100.78
2015-01-23,42.5,7.0,12.74,13.13,12.32,0.1,6.11,312.8,2.5925,69.01,100.87
