country,year,reporting_level,welfare_type,ppp_version,survey_year,survey_comparability,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median,avg_shortfall_international_povline,avg_shortfall_lower_mid_income_povline,avg_shortfall_upper_mid_income_povline,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_3000,avg_shortfall_4000,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_international_povline,total_shortfall_lower_mid_income_povline,total_shortfall_upper_mid_income_povline,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_3000,total_shortfall_4000,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_international_povline,income_gap_ratio_lower_mid_income_povline,income_gap_ratio_upper_mid_income_povline,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_3000,income_gap_ratio_4000,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_international_povline,poverty_gap_index_lower_mid_income_povline,poverty_gap_index_upper_mid_income_povline,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_3000,poverty_gap_index_4000,mean,median,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,gini,mld,polarization,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Italy,1986,national,income,2011,1986.0,0.0,0.20574409954019,0.47771429406073,1.47467395401742,0.0,8.2397008400584,40.99123778492457,66.49027026035591,83.4998350013053,6.74011650689023,11.97064876500636,19.44116343928969,116443.0,270368.0,834609.0,0.0,4663354.0,23199464.0,37630936.0,47257696.0,3814647.0,6774927.0,11002951.0,0.6325422210200528,1.2360996941402835,1.7910114230274738,,2.707073471355492,6.196776984247938,12.006826454186768,18.669722981880533,2.582632940873581,3.2345842134164635,3.877621285834593,73655.113842238,334201.8021053201,1494794.252761537,0.0,12624041.90093952,143761904.5620886,451828117.8606092,882288093.0819237,9851833.000004586,21914071.92124896,42665277.00459503,33.291695843160674,38.62811544188386,32.563844055044974,,27.07073471355492,30.98388492123969,40.02275484728922,46.67430745470133,27.704608510005865,27.758614213303296,27.730867976867867,0.0684955530824515,0.18453208200789,0.4802106666599,0.0,2.23054762305664,12.700677684030708,26.61123756908982,38.97296967797211,27.40586192345023,23.305084242038937,7.885598863997075,12.567890073015375,15.571833176996607,18.591512509529377,21.43629235175544,25.171166750035976,29.242057284790665,34.14535972881325,41.766217392854834,67.68069110271362,2.87734021503248,4.58584010534676,5.68193520805574,6.78377223145143,7.82179097728474,9.18459226728348,10.670000953252,12.459144625404493,15.23988463107484,24.69569878581401,10.96,14.24,17.08,19.9,27.08,31.5,37.1,47.75,0.3251640823575095,0.1838693414649294,0.2822262025389705,1.2391910217650184,5.351014139084814,4.356751824817518,2.0528804815133275,2.122262773722628
Italy,1987,national,income,2011,1987.0,0.0,1.24092638386013,1.70883284703848,2.71433299932868,0.99937492788789,8.48676561328465,35.48356484204936,61.741050436574966,77.48704380004769,8.24939287185078,13.74644233087959,20.48385526001792,702388.0,967232.0,1536365.0,565666.0,4803673.0,20084383.0,34946627.0,43859163.0,4669316.0,7780752.0,11594258.0,1.5548611173803248,2.233125418932414,3.240267050948043,0.8330907089772447,3.71725534635778,6.839292639487457,11.98739315230669,18.59881921843079,3.739291464692757,4.142749144713336,4.800024210046036,1092115.7905145315,2159950.3652048367,4978232.88772979,471251.0889843221,17856479.141404517,137362972.820547,418918957.1960161,815728643.7086886,17459933.464753322,32233703.693226576,55652719.097519934,81.83479565159605,69.78516934163792,58.913946380873504,83.30907089772447,37.1725534635778,34.19646319743729,39.957977174355634,46.497048046076976,37.70969486000359,33.42276099175744,32.271256019235985,1.01550914310915,1.19251141648597,1.59912080086898,0.83257069265768,3.15474734270188,12.1341242598726,24.67047500529126,36.02918793126902,29.970969510922384,24.78998755210559,6.966780365540389,12.951205934293194,16.365318111878114,19.800275276100606,23.12428555760449,26.8843416553709,31.844016772379817,38.1952441671522,47.298820080457865,76.27940718844602,2.3245095101116,4.3212502450324,5.46038996366603,6.606484741471159,7.715561403236309,8.97012745803014,10.62495384434422,12.74408028516816,15.78154489237349,25.45109765656641,11.02,14.82,18.1,21.52,29.24,34.75,41.65,53.45,0.3454697394005763,0.2377821012701988,0.3050440320714074,1.360102326082843,6.204353462675914,4.850272232304901,2.1622168284789645,2.243194192377496
Italy,1989,national,income,2011,1989.0,0.0,0.0,0.2099356343804999,0.49582759487203,0.0,3.4789577490688,27.49527417194777,53.747788136309424,72.74999688983571,5.73792623386994,11.74773778573752,18.72509891157444,0.0,118974.0,280994.0,0.0,1971587.0,15582062.0,30459829.0,41228719.0,3251785.0,6657652.0,10611847.0,,0.5625463386914359,1.480936123907309,,2.2500156704510776,5.5427767998796975,10.546354504167985,16.607538000228498,2.4233617568343915,3.2485750229322923,4.373538932556763,0.0,66928.38809947489,416134.1652012104,0.0,4436101.645657629,86367891.74788705,321240154.77033657,684707517.4932427,7880251.410447721,21627881.99857522,46411326.00083569,,17.57957308410737,26.926111343769254,,22.500156704510776,27.713883999398487,35.15451501389328,41.51884500057125,21.434717994597573,22.9870061469673,25.78940140856401,0.0,0.036905706706281,0.13350693409355,0.0,0.78277081951203,7.62000860250775,18.894774383411768,30.20495850894658,33.65095955067556,28.264446463036947,10.41977874793121,15.348897982458862,19.12396921947544,22.55796009934736,26.21992808635091,30.470555428547613,35.32197463446993,41.53138857727073,51.01592353986247,84.49921919104051,3.0964284189994298,4.561206630480981,5.68303830702846,6.70351169789882,7.79173266868241,9.05488456656384,10.49657278903978,12.34181406171432,15.16031763166715,25.110493227924657,13.5,17.28,20.84,24.3,32.85,38.2,45.2,58.65,0.3257331576650686,0.17940434640148,0.2810830591256131,1.252757004575893,5.2589096502221375,4.344444444444444,2.0753715498938425,2.0933333333333333
Italy,1991,national,income,2011,1991.0,0.0,0.24771694316105,0.24771694316105,1.24710282046058,0.24771694316105,3.98856464644159,25.23719013295737,52.49301766676405,72.48335791020799,5.7107260864303,11.99912533611989,18.74141147660026,140600.0,140600.0,707837.0,140600.0,2263850.0,14324256.0,29794260.0,41140482.0,3241324.0,6810526.0,10637348.0,1.7064752265701404,3.006479601861771,1.875961015162097,0.8064721975220703,3.1624889596847567,5.846727839254951,10.293009158887854,16.215456871526424,3.523024856990833,3.678495037025931,4.733050702732453,239930.4168557617,422711.032021765,1327874.6170892932,113389.9909716031,7159400.631382337,83750026.33181477,306672591.062286,667111711.5448091,11419265.021560954,25052486.090536065,50347107.42660966,89.81448560895477,93.95248755818034,34.10838209385631,80.64721975220704,31.624889596847567,29.23363919627476,34.310030529626175,40.53864217881606,30.567642635234904,25.53326786875667,27.377648153401328,0.22248494946898,0.23273544690638,0.42536652525123,0.19977615514612,1.2613789974165002,7.3777491781203,18.010370111786738,29.38376915885497,33.65712232572837,28.81335092659296,10.078314256863376,15.70294146640054,19.89246132615528,23.49620155329925,26.979239387646388,30.879940595339185,35.66960957770638,41.9336285337094,51.05134073155267,80.88754582861122,2.9944075905619703,4.6655627045087,5.91032742895817,6.981048862676579,8.01590793370435,9.17486061241004,10.59793800328545,12.45906531398683,15.16806464839322,24.03281690151469,13.74,18.04,21.7,25.2,33.0,38.45,45.65,58.6,0.3146832586649527,0.1785353804629411,0.2668785583693993,1.1694035132988034,5.117628403224277,4.264919941775837,2.036136205698402,2.094614264919942
Italy,1993,national,income,2011,1993.0,0.0,1.22321890135365,1.93622792325519,3.70587428123959,0.73684884431741,8.746021360630769,31.99760527727338,56.24889558152295,74.97155258247216,10.946121527874393,16.69979468336949,23.49830774487981,695178.0,1100394.0,2106116.0,418765.0,4970523.0,18184822.0,31967272.0,42607699.0,6220880.0,9490797.0,13354516.0,1.2234028791128275,1.7908089488200056,2.633496958297499,0.8721826509052893,4.1392399680644445,7.315623102861874,12.066988873598127,17.873893478544684,4.204348879231382,4.97084993475108,5.868803955761078,850482.7666958973,1970595.4224278408,5546450.079821696,365239.5678063535,20574187.46378359,133033303.94463088,385748715.54328495,761565473.2918948,26154749.855832923,47177327.64818574,78375036.3280746,64.38962521646462,55.96277965062517,47.88176287813635,87.21826509052893,41.392399680644445,36.578115514309374,40.22329624532709,44.68473369636171,38.16831318742438,36.10146780244412,35.519149949014206,0.7876265460283499,1.08356737242099,1.77443807239344,0.6426673672947301,3.62018796895204,11.7041211775205,22.62516015122848,33.50083896185091,32.0828906848525,27.538215132707403,6.454578416792039,13.03899844992665,17.18612067983664,21.13429580789667,25.14346926858348,29.49183145833405,34.3599956525945,40.31710475896288,49.728879267988525,83.97363308760933,2.01184440647659,4.0641594855051,5.35678684587821,6.587403864413919,7.837033612577381,9.19238598168407,10.709756795330511,12.56654369302142,15.500124273860193,26.173961041252543,10.68,15.16,19.28,23.02,31.75,37.0,44.1,56.5,0.3553788793076097,0.2546661369382207,0.2977928801467719,1.4524793776616525,6.858798324686511,5.290262172284645,2.0575382374362707,2.5711610486891385
Italy,1995,national,income,2011,1995.0,0.0,0.74232906814611,0.9691378320888,2.73759749627191,0.48695654108572,9.24520383802196,33.24472817462977,57.480411216946216,75.9805050690853,9.99933788872667,15.737199335799309,22.24287142689624,421972.0,550900.0,1556168.0,276807.0,5255372.0,18897734.0,32674339.0,43190589.0,5684054.0,8945701.0,12643805.0,1.330514246055943,2.168199566330143,2.397315333112704,0.8701019352441471,3.6836103204888175,7.147176968777853,12.198834710029884,18.10776010058831,3.9880769994913297,4.68059036076187,5.55899703361341,561439.7574367183,1194461.141091276,3730625.40729933,240850.30638912664,19358742.53720796,135065449.20689017,398588860.7204832,782084824.2151084,22668445.02126669,41871161.87085782,70286874.4885864,70.02706558189173,67.75623644781697,43.58755151114007,87.01019352441472,36.836103204888175,35.73588484388927,40.66278236676629,45.26940025147079,37.63241331316371,35.33370314129185,34.970651101984515,0.51983152854776,0.65665174325565,1.19325155345801,0.4237017496531299,3.40557303292257,11.88029776764878,23.37313443239763,34.39591933316116,31.249526301490288,26.49363041312256,6.652303622940756,12.895027910484462,16.90113631691404,20.536642708374,24.27024835415623,28.79659938235492,33.536593519377305,39.38753311521948,47.78141330385475,81.7377647812268,2.12876942797802,4.12647148186355,5.40844560453642,6.57182528472267,7.76659720214664,9.21505148735058,10.73187260370662,12.60420165579953,15.290284032745822,26.15648121915011,10.42,15.02,18.9,22.28,31.2,36.35,42.7,54.0,0.3523806366236202,0.2498102831760734,0.3013403344660851,1.434370557147735,6.625926299127252,5.182341650671785,2.0470053070507963,2.531669865642994
Italy,1998,national,income,2011,1998.0,0.0,1.7424412615559202,2.23880631058707,3.49846517439574,1.4905977870903702,8.96438052104555,28.749243760940367,53.73189171005747,72.98457442590772,10.99596376005508,15.725108300766848,22.22030014122544,991567.0,1274032.0,1990863.0,848251.0,5101337.0,16360259.0,30577070.0,41533145.0,6257445.0,8948647.0,12644849.0,1.5101660281683345,2.283431853297345,3.4069503763924667,0.8134318964524598,4.280730313497304,7.651543901963797,11.884849927274969,17.534613850955687,4.636789603231917,5.584091072978523,6.373961254237898,1497430.7980527908,2909165.2509201234,6782771.447195835,689994.4195976955,21837447.9352654,125181239.98599832,363403888.1657816,728267659.5907509,29014455.918795545,49970059.82793604,80597777.59168883,79.4824225351755,71.35724541554204,61.94455229804485,81.34318964524599,42.80730313497304,38.25771950981899,39.61616642424989,43.83653462738922,41.0708543904867,39.56934189149519,37.63869069825682,1.38493510129373,1.59755079452892,2.16710900243638,1.21250026112493,3.83740948792737,10.99880534247385,21.286515599731707,31.99390829629749,33.86560376391944,28.22433129310516,6.251054557524021,13.594944556716376,18.21763934290786,22.214236250015333,26.25839067929894,30.487394605601786,35.28819229837597,41.6394985189026,51.19877872128427,93.50590810856716,1.8458417576431696,4.01438127354472,5.37939304726556,6.55952759763949,7.75370516419812,9.00246598824356,10.42006885345188,12.29551340917344,15.1182241067356,27.61087880210444,10.76,15.98,20.56,24.04,32.85,38.1,45.65,58.5,0.366607868563616,0.2779929059214714,0.2948087820220555,1.5512475939609505,7.291378277147019,5.436802973977695,2.0729978738483346,2.6226765799256504
Italy,2000,national,income,2011,2000.0,0.0,1.24951702619588,1.74531770953664,2.99208890504011,1.24951702619588,7.21413606263632,27.469944339309787,51.99853562870286,70.99400026433132,10.19769102874684,15.24907059141844,21.49276425043993,711501.0,993821.0,1703758.0,711501.0,4107881.0,15641965.0,29609062.0,40425480.0,5806780.0,8683142.0,12238433.0,1.7001832519993187,2.2277175087360828,3.050523127117802,0.800182828835674,4.234107024445104,7.100172768575363,11.480024597888413,17.11967347440543,4.385433100583459,5.281841984853969,6.225762142819315,1209682.0839807673,2213952.442249602,5197353.182011972,569330.8828994109,17393207.797684576,111060653.94000892,339912760.08040303,692071017.6461072,25465245.21980602,45862983.976048864,76193572.85883062,89.48332905259574,69.61617214800259,55.464056856687314,80.01828288356741,42.34107024445103,35.50086384287682,38.26674865962804,42.79918368601358,37.63354973204752,36.26085879406028,35.61754317804512,1.11810890640457,1.21502375395551,1.65953340859871,0.9998415985924,3.05454230772148,9.75206730492037,19.89814872328477,30.384852350658807,34.515992001061896,29.13247044065687,7.209030955905848,14.449811374256056,18.96991707548398,22.816320113688946,26.972393660655264,31.517527978946404,36.58608704101772,42.823487615853765,52.86389170014744,90.95145249466316,2.08860604547714,4.18641056986324,5.49597910293303,6.61036197742397,7.814462832134581,9.13128267557159,10.59974954215198,12.40685407927325,15.31576774572235,26.35052542944877,11.52,16.7,20.96,24.94,34.05,39.45,46.7,60.3,0.3525280984423746,0.2486178862238566,0.2931464524323258,1.4335461974942565,6.640029139255273,5.234375,2.0764462809917354,2.520833333333333
Italy,2003,national,income,2011,2003.0,1.0,0.76940329621255,1.08928744526715,1.8288773203968,0.5299401956004101,4.36677381966544,17.63166666459773,39.09132705481091,58.34733841524823,8.372366769428451,13.52990679999501,20.29652849405483,440970.0,624306.0,1048188.0,303726.0,2502738.0,10105273.0,22404492.0,33440729.0,4798472.0,7754423.0,11632591.0,1.3370941381520065,2.070577433419119,3.084848213661467,0.8080180317275117,4.388610667919464,6.730474588432844,10.299698315229586,15.30102531845945,5.392464617116485,6.176393693723481,7.058747530732938,589618.4021008903,1292673.9151481565,3233500.879381386,245416.08470447024,10983542.685807422,68013283.13567653,230759508.5059748,511677441.09674114,25875590.476224177,47894369.31566432,82111522.9972762,70.37337569221087,64.70554479434746,56.088149339299406,80.80180317275118,43.88610667919464,33.65237294216422,34.33232771743195,38.25256329614862,37.97938378980362,34.80050673471554,33.143395531867085,0.54145547368892,0.7048299123742899,1.02578327509739,0.42820165661387,1.9164070599591896,5.9334742760474,13.42096273500161,22.31935288526542,42.39260345076179,35.4959986117798,9.785097896609289,18.486233600977886,23.46632220588424,28.017985472874045,32.87906667114237,38.171160776627474,44.019587943194594,51.92619966846456,64.04533177356178,113.12904849828138,2.30820876759185,4.36072146935946,5.53547560086512,6.609168390758639,7.7558498404871,9.00420301408536,10.3837897085803,12.24888198451314,15.1076665645103,26.68603465924867,15.52,21.1,25.74,30.4,41.0,47.6,56.8,73.3,0.3493130855082459,0.2312371858413497,0.2849644685419772,1.4184457634167398,6.266927338988763,4.722938144329897,2.064788732394366,2.2873711340206184
Italy,2004,national,income,2011,2004.0,1.0,0.60452063302,0.93455460791369,1.48393733312037,0.51913356909873,3.80638018426493,16.1649650496583,36.66378268048901,55.96589895732771,8.16303827924205,13.33060281646238,19.98115211541934,348720.0,539101.0,856014.0,299464.0,2195723.0,9324813.0,21149623.0,32284112.0,4708875.0,7689802.0,11526193.0,1.5373046154607777,2.0998501117167576,3.1849347301804087,0.7893083905235375,4.136026363817923,6.514151552964714,10.013679306761189,14.876237610872316,5.251658562907868,6.097603604019953,7.1028735397136735,536088.8655034824,1132031.2950766156,2726348.7181206523,236369.44785974064,9081568.21564138,60743245.08505555,211785542.18090045,480266121.1680143,24729403.715412784,46889364.38939984,81869091.27333297,80.91076923477777,65.62031599114867,57.90790418509834,78.93083905235375,41.36026363817923,32.57075776482357,33.37893102253729,37.19059402718079,35.75365706676118,33.210327834635514,32.23790499521474,0.48912270961993,0.61325782154523,0.8593169055469301,0.40975662296192,1.57432898241894,5.26505163826631,12.23797877178833,20.8140503896257,43.61252879919263,36.72112864637654,10.543098738333995,19.3299433058037,24.46731678100352,29.21555198192213,34.18731257470031,39.47627742437848,45.50687935671187,53.24374392758369,65.38199328260008,114.77317061888762,2.41744724019057,4.4321996082377,5.61015778141635,6.698889696683439,7.838874175838479,9.05159102471244,10.43435925631405,12.20835970616071,14.991562076953093,26.31655943349296,16.24,22.04,26.82,31.65,42.25,49.15,58.0,74.75,0.3429511626302363,0.2217205434770144,0.2782360107284832,1.373609233748971,6.030693614507246,4.602832512315271,2.036784741144414,2.2598522167487687
