country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ITA,Italy,CAPRIATI,WRI1002859,113.0,41.4686,14.1454,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,CARMA,1015960,,,,48.754,36.93,29.972,,,JRC-PPDB-OPEN,322.17,383.31,334.03,402.89,212.39,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CARBOLI 1,WRI1021704,19.0,43.1369,10.8292,Geothermal,,,,1998.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1015961,,,,,,,,,,,,,,124.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CARBOLI 2,WRI1021703,19.0,43.1362,10.8289,Geothermal,,,,1997.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1015961,,,,,,,,,,,,,,124.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CARDANO,WRI1002860,121.0,46.4927,11.3336,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,CARMA,1034057,,,,645.354,623.897,585.195,,,JRC-PPDB-OPEN,271.97,389.75,308.45,369.65,188.56,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CASTELBELLO,WRI1021303,87.0,46.6253,10.9159,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1042077,,,,,,,,,,254.7,299.17,257.14,302.45,152.63,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CASTROCUCCO,WRI1021307,83.0,39.9888,15.8085,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1061665,,,,,,,,,,190.04,244.96,225.09,266.34,176.05,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CCGT APRILIA,WRI1002862,787.0,41.5616,12.6337,Gas,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,GEODB,,,,,790.969,1435.745,1764.636,,,JRC-PPDB-OPEN,,,,,2996.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CEDEGOLO,WRI1002863,130.0,46.0767,10.3496,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,CARMA,1042076|1042081,,,,282.466,270.826,214.005,,,JRC-PPDB-OPEN,322.37,379.01,316.79,407.66,196.99,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CELANO,WRI1002864,180.0,42.0458,13.5475,Gas,,,,1998.0,Grupo Industriale Maccaferri,Termica Celano,http://www.termicacelano.it/index.php/attivita,CARMA,1029310,,,,26.0,,,,,ENTSOE,,,,,685.28,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CENTRALE DI SCANDALE,WRI1002865,826.0,39.1022,17.0325,Gas,,,,,Ergosud,Ergosud,http://www.ergosud.it/tecnologia,GEODB,1061545,,,,619.0,,,,,ENTSOE,,,,,3144.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CENTRALE DI TEVEROLA,WRI1002866,400.0,41.0092,14.2281,Gas,,,,2007.0,,Repower,https://web.archive.org/web/20110703082905/http://www.repower.com/en/it/production/power-plants/combined-cycle-gas-power-plant-in-teverola/,GEODB,1061313,,,,789.909,1567.797,1511.516,,,JRC-PPDB-OPEN,,,,,1522.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CENTRALE DI TURANO LODIGIANO - BERTONICO (LO),WRI1002867,800.0,45.2268,9.6377,Gas,,,,2011.0,Ansalado Energia,Ansaldo Energia,http://www.ansaldoenergia.it/easyUp/file/anno2012_numero2(1).pdf,GEODB,1061539,,,,1337.457,1062.63,1491.5,,,JRC-PPDB-OPEN,,,,,3045.71,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CENTRALE NATURNO,WRI1002868,175.0,46.6487,11.0051,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,CARMA,1009721,,,,334.518,235.725,213.244,,,JRC-PPDB-OPEN,446.84,545.09,464.4,574.44,240.98,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CHIAVENNA,WRI1021342,60.0,46.3128,9.3963,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1064971,,,,,,,,,,163.97,201.44,151.65,202.65,76.48,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CHIUSDINO 1,WRI1021764,17.0,43.1601,11.0638,Geothermal,,,,2010.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1084894,,,,,,,,,,,,,,111.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CHIVASSO,WRI1002871,1123.0,45.1856,7.9016,Gas,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,GEODB,1015972,,,,365.129,,,,,JRC-PPDB-OPEN,,,,,4275.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CIMEGO,WRI1002872,229.9,45.9422,10.6403,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,CARMA,1015973,,,,272.712,248.773,272.861,,,JRC-PPDB-OPEN,530.5,584.83,552.37,670.91,378.09,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,COGOLO,WRI1021291,98.0,46.3371,10.6129,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1015979,,,,,,,,,,265.12,313.27,250.36,298.17,159.93,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ITA,Italy,CORNIA 2,WRI1021761,17.0,43.1658,10.8057,Geothermal,,,,1994.0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1015984,,,,,,,,,,,,,,111.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CTE DEL MINCIO,WRI1002873,400.0,45.3993,10.7142,Gas,,,,,A2A,A2A,http://www.a2a.eu/gruppo/cms/a2a/it/impianti_reti/termoelettrica/mincio.html,GEODB,1010428,,,,392.73,25.848,1163.302,,,JRC-PPDB-OPEN,,,,,1522.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CTE NUCE NORD,WRI1002874,480.0,37.1313,15.2014,Gas,,,,,ERG,TERNA,http://www.borsaitaliana.it/bitApp/view.bit?lang=it&target=DocViewerDownload&filename=db%2Fpdf%2Fnew%2F8318.pdf,WRI,1066311,,,,2085.0,,,,,ENTSOE,,,,,1827.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,CTE TAMARETE,WRI1002875,104.0,42.3496,14.4039,Gas,,,,2013.0,Tamarete Energia,Power and Technology Magazine,http://www.power-technology.com/news/newstamarete-energia-opens-104mw-combined-cycle-power-plant-in-italy,CARMA,1024613,,,,111.181,139.414,174.044,,,JRC-PPDB-OPEN,,,,,395.94,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ITA,Italy,Caltagirone,WKS0061218,11.0,37.176,14.459,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,21.91,22.11,22.17,21.87,23.85,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ITA,Italy,Canaro,WKS0072944,6.0,44.9758,11.6264,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,10.08,10.01,10.37,10.34,10.45,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
