DATE,PDE_WIND_MW
2026-06-25,11585.4741
2026-06-26,7006.2613
2026-06-27,5975.1637
2026-06-28,7856.9044
2026-06-29,6070.5193
2026-06-30,3389.1905
2026-07-01,3500.1756
2026-07-02,20948.4679
2026-07-03,29388.3098
2026-07-04,17740.4850
2026-07-05,22641.0572
2026-07-06,22818.0212
2026-07-07,33632.4026
2026-07-08,22211.4462
2026-07-09,8355.5691
2026-07-10,4680.5310
2026-07-11,4850.8417
2026-07-12,9160.3421
2026-07-13,7704.2329
2026-07-14,10997.7202
2026-07-15,7761.8087
2026-07-16,9069.6427
