DATE,PFR_WIND_MW
2026-06-25,5740.5848
2026-06-26,2702.7605
2026-06-27,2377.1611
2026-06-28,2381.7653
2026-06-29,3140.9874
2026-06-30,2689.6485
2026-07-01,5688.6200
2026-07-02,5716.0115
2026-07-03,3056.8556
2026-07-04,3026.2821
2026-07-05,3047.1401
2026-07-06,2673.1930
2026-07-07,3189.9125
2026-07-08,2525.4069
2026-07-09,3435.3939
2026-07-10,4478.6057
2026-07-11,5200.6961
2026-07-12,6032.5138
2026-07-13,7947.2054
2026-07-14,3413.9242
2026-07-15,3733.9032
2026-07-16,4380.8834
