DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2005,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2006,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2007,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2008,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2009,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2010,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2011,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2012,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2013,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2014,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2015,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2016,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2017,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2018,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2019,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2020,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2021,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2022,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2023,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC2020-2030,PC,IT,2024,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2005,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2006,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2007,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2008,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2009,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2010,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2011,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2012,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2013,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2014,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2015,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2016,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2017,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2018,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2019,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2020,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2021,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2022,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2023,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,I05,IT,2024,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2005,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2006,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2007,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2008,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2009,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2010,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2011,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2012,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2013,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2014,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2015,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2016,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2017,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2018,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2019,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2020,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2021,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2022,,m,
ESTAT:NRG_IND_EFF(1.0),21/04/26 23:00:00,A,FEC_DT2020,MTOE,IT,2023,,m,
