DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1990,93.928,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1991,99.144,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1992,99.054,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1993,92.348,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1994,95.338,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1995,105.945,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1996,101.969,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1997,94.387,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1998,98.390,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,1999,100.583,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2000,104.619,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2001,101.128,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2002,95.532,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2003,97.661,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2004,101.121,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2005,99.423,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2006,99.653,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2007,99.241,,
ESTAT:NRG_IND_ID(1.0),16/07/26 23:00:00,A,C0000X0350-0370,PC,IT,2008,101.813,,
