DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2011,13.818,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2012,16.984,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2013,18.092,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2014,18.914,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2015,19.255,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2016,18.887,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2017,20.083,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2018,19.279,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2019,19.699,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2020,19.949,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2021,19.354,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2022,19.901,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2023,20.283,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_HEAT_CL,PC,IT,2024,20.223,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2004,1.213,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2005,1.048,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2006,0.995,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2007,0.964,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2008,2.616,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2009,3.999,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2010,4.916,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2011,5.06,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2012,6.155,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2013,5.411,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2014,5.02,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2015,6.505,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2016,7.414,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2017,6.484,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2018,7.659,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2019,9.047,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2020,10.736,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2021,9.870,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2022,10.048,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2023,10.435,,
ESTAT:SDG_07_40(1.0),14/07/26 11:00:00,A,REN_TRA,PC,IT,2024,9.951,,
