DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2004,6.316,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2005,7.549,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2006,8.328,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2007,9.807,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2008,11.492,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2009,12.775,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2010,13.023,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2011,12.881,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2012,15.441,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2013,16.741,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2014,17.082,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2015,17.525,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2016,17.415,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2017,18.267,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2018,17.796,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2019,18.181,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2020,20.359,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2021,18.888,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2022,18.826,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2023,19.179,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2024,19.385,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN,PC,IT,2025,20.5,p,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2004,16.086,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2005,16.293,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2006,15.926,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2007,15.954,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2008,16.645,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2009,18.807,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2010,20.091,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2011,23.546,,
ESTAT:NRG_IND_REN(1.0),14/07/26 11:00:00,A,REN_ELC,PC,IT,2012,27.42,,
