DATAFLOW,LAST UPDATE,freq,nrg_prc,nrg_cons,currency,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,NAC,GJ_GCV,IT,2022,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,NAC,GJ_GCV,IT,2023,2.1901,e,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,NAC,GJ_GCV,IT,2024,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,NAC,GJ_GCV,IT,2025,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,PPS,GJ_GCV,IT,2022,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,PPS,GJ_GCV,IT,2023,2.2821,e,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,PPS,GJ_GCV,IT,2024,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_GE200,PPS,GJ_GCV,IT,2025,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_LT20,EUR,GJ_GCV,IT,2022,4.2470,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_LT20,EUR,GJ_GCV,IT,2023,12.1128,e,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_LT20,EUR,GJ_GCV,IT,2024,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_LT20,EUR,GJ_GCV,IT,2025,0.0000,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_LT20,NAC,GJ_GCV,IT,2022,4.2470,,
ESTAT:NRG_PC_202_C(1.0),27/04/26 23:00:00,A,ALLOW_OTH,GJ_LT20,NAC,GJ_GCV,IT,2023,12.1128,e,
