country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Italy,1900,ITA,33332371.0,109905408000.0,,,,,,,,,,,,,,,,,,35.112,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1901,ITA,33571430.0,112370009000.0,,,,,,,,,,,,,,,,-11.25,-0.132,30.94,1.039,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.693,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1902,ITA,33827207.0,115173586000.0,,,,,,,,,,,,,,,,-1.719,-0.018,30.178,1.021,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.012,1.031,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1903,ITA,34099919.0,117151272000.0,,,,,,,,,,,,,,,,-15.444,-0.158,25.313,0.863,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.333,-0.012,0.682,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1904,ITA,34374827.0,120148615000.0,,,,,,,,,,,,,,,,-23.067,-0.199,19.318,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.023,1.353,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1905,ITA,34651950.0,123658852000.0,,,,,,,,,,,,,,,,53.358,0.354,29.389,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.023,2.014,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1906,ITA,34931305.0,128904644000.0,,,,,,,,,,,,,,,,15.485,0.158,33.669,1.176,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.667,0.012,2.331,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1907,ITA,35212911.0,132267304000.0,,,,,,,,,,,,,,,,-3.661,-0.043,32.177,1.133,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.286,0.012,2.642,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1908,ITA,35496784.0,136236705000.0,,,,,,,,,,,,,,,,4.085,0.046,33.223,1.179,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.5,-0.012,2.293,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1909,ITA,35739219.0,138550938000.0,,,,,,,,,,,,,,,,15.713,0.185,38.183,1.365,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.286,-0.012,1.952,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
