entity_kind,company_eic,facility_eic,entity_name,name,code,url,longitude,latitude,type,updatedAt,gasDayStart,gasDayEnd,gasInStorage,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,status,trend,full,info
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-16,2016-01-17,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-17,2016-01-18,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-18,2016-01-19,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-19,2016-01-20,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-20,2016-01-21,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-21,2016-01-22,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-22,2016-01-23,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-23,2016-01-24,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-24,2016-01-25,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-25,2016-01-26,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-26,2016-01-27,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-27,2016-01-28,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-28,2016-01-29,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-29,2016-01-30,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-30,2016-01-31,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-01-31,2016-02-01,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-01,2016-02-02,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-02,2016-02-03,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-03,2016-02-04,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-04,2016-02-05,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-05,2016-02-06,-,-,-,-,-,-,-,-,-,N,-,-,[]
