direction,reporter,reporter_name,partner,partner_name,year,gwh,twh
export,AL,Albania,NSP,Not specified,2015,956.0,0.956
export,AL,Albania,TOTAL,Total,2015,956.0,0.956
import,AL,Albania,NSP,Not specified,2015,2355.0,2.355
import,AL,Albania,TOTAL,Total,2015,2355.0,2.355
export,AL,Albania,NSP,Not specified,2016,42.0,0.042
export,AL,Albania,TOTAL,Total,2016,42.0,0.042
import,AL,Albania,NSP,Not specified,2017,2914.628,2.914628
import,AL,Albania,TOTAL,Total,2017,2914.628,2.914628
export,AL,Albania,NSP,Not specified,2018,1763.786,1.763786
export,AL,Albania,TOTAL,Total,2018,1763.786,1.763786
import,AL,Albania,NSP,Not specified,2018,850.48,0.85048
import,AL,Albania,TOTAL,Total,2018,850.48,0.85048
export,AL,Albania,NSP,Not specified,2019,770.48,0.77048
export,AL,Albania,TOTAL,Total,2019,770.48,0.77048
import,AL,Albania,NSP,Not specified,2019,3176.515,3.1765149999999998
import,AL,Albania,TOTAL,Total,2019,3176.515,3.1765149999999998
export,AL,Albania,TOTAL,Total,2020,963.027,0.9630270000000001
export,AL,Albania,NSP,Not specified,2020,834.675,0.834675
export,AL,Albania,EL,Greece,2020,69.005,0.069005
export,AL,Albania,ME,Montenegro,2020,45.098,0.045098
export,AL,Albania,XK,Kosovo*,2020,14.249,0.014249000000000001
import,AL,Albania,TOTAL,Total,2020,3238.631,3.238631
import,AL,Albania,NSP,Not specified,2020,2903.866,2.903866
import,AL,Albania,ME,Montenegro,2020,155.334,0.155334
import,AL,Albania,EL,Greece,2020,143.356,0.14335599999999998
import,AL,Albania,XK,Kosovo*,2020,36.075,0.036075
export,AL,Albania,TOTAL,Total,2021,2800.0,2.8
export,AL,Albania,ME,Montenegro,2021,2068.0,2.068
export,AL,Albania,EL,Greece,2021,488.0,0.488
export,AL,Albania,XK,Kosovo*,2021,244.0,0.244
import,AL,Albania,TOTAL,Total,2021,2252.0,2.252
import,AL,Albania,ME,Montenegro,2021,1627.0,1.627
import,AL,Albania,EL,Greece,2021,388.0,0.388
import,AL,Albania,XK,Kosovo*,2021,237.0,0.237
export,AL,Albania,TOTAL,Total,2022,2122.527,2.122527
export,AL,Albania,ME,Montenegro,2022,1188.615,1.188615
export,AL,Albania,XK,Kosovo*,2022,615.533,0.615533
export,AL,Albania,EL,Greece,2022,318.379,0.318379
import,AL,Albania,TOTAL,Total,2022,3043.533,3.043533
import,AL,Albania,EL,Greece,2022,1491.331,1.491331
import,AL,Albania,XK,Kosovo*,2022,1095.672,1.095672
import,AL,Albania,ME,Montenegro,2022,456.53,0.45653
export,AL,Albania,TOTAL,Total,2023,2841.554,2.841554
export,AL,Albania,EL,Greece,2023,1051.375,1.051375
export,AL,Albania,XK,Kosovo*,2023,966.128,0.9661280000000001
